Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.0980718887656935,-3.0980718887656935
%=CQC RequiresImprovement,2.079271712462413,-2.079271712462413
%=CQC Good,0.32875672612559464,-0.32875672612559464
%=CQC Inadequate,0.19294706442702528,-0.19294706442702528
Care=Homes per 10k,0.1463661241436349,0.1463661241436349
GDHI=per head 2022,0.11324322141927712,-0.11324322141927712
%=CQC Outstanding,0.0688102193806186,0.0688102193806186
Total=Population,0.04838442206422652,0.04838442206422652
Percent=65plus,0.036124537877017394,0.036124537877017394
%=CQC NotRated,0.0,0.0
