Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.853669585339511,-4.853669585339511
House=Price Growth %,2.1919424506103304,2.1919424506103304
Percent=65plus,0.8656655108448833,0.8656655108448833
%=CQC Outstanding,0.640451525593558,-0.640451525593558
%=CQC Inadequate,0.26065664233930147,-0.26065664233930147
%=CQC Good,0.14346754252005017,-0.14346754252005017
Total=Population,0.1239460119255423,-0.1239460119255423
Care=Homes per 10k,0.07659696126666786,0.07659696126666786
GDHI=per head 2022,0.057681075261563054,0.057681075261563054
%=CQC NotRated,0.0,0.0
