Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,7.300322439691495,7.300322439691495
%=CQC RequiresImprovement,5.62675769254459,-5.62675769254459
%=CQC Good,0.8345850963755134,-0.8345850963755134
Percent=65plus,0.7483381315435967,0.7483381315435967
Care=Homes per 10k,0.33722863020916316,0.33722863020916316
%=CQC Inadequate,0.155440567377557,-0.155440567377557
GDHI=per head 2022,0.12934316257759418,0.12934316257759418
Total=Population,0.10487339354734959,0.10487339354734959
%=CQC Outstanding,0.015427711006055502,-0.015427711006055502
%=CQC NotRated,0.0,0.0
