Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.635931286121898,3.635931286121898
%=CQC Good,0.9889657441001241,-0.9889657441001241
House=Price Growth %,0.9246166978317943,-0.9246166978317943
%=CQC Inadequate,0.19178091330718008,-0.19178091330718008
GDHI=per head 2022,0.1302282906788391,0.1302282906788391
%=CQC Outstanding,0.09992844440335258,0.09992844440335258
Care=Homes per 10k,0.08281639035127827,0.08281639035127827
Total=Population,0.03719963590646982,-0.03719963590646982
Percent=65plus,5.326985571145381e-05,5.326985571145381e-05
%=CQC NotRated,0.0,0.0
