Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.583329225958208,4.583329225958208
House=Price Growth %,2.367695983749587,2.367695983749587
%=CQC Good,0.3881390635649655,-0.3881390635649655
GDHI=per head 2022,0.30757932728620496,0.30757932728620496
%=CQC Inadequate,0.13738285063928216,-0.13738285063928216
%=CQC Outstanding,0.1315874089917428,0.1315874089917428
Percent=65plus,0.10925952703004113,-0.10925952703004113
Care=Homes per 10k,0.024728199144366168,0.024728199144366168
Total=Population,0.01064401363030114,-0.01064401363030114
%=CQC NotRated,0.0,0.0
