Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,2.7458568604091473,-2.7458568604091473
%=CQC RequiresImprovement,0.892150014175041,0.892150014175041
%=CQC Good,0.827274517519528,-0.827274517519528
Percent=65plus,0.5961847176879056,-0.5961847176879056
%=CQC Inadequate,0.1926035444769181,-0.1926035444769181
%=CQC Outstanding,0.16141307188735515,0.16141307188735515
Total=Population,0.15975325497249632,-0.15975325497249632
GDHI=per head 2022,0.08319300349761971,0.08319300349761971
Care=Homes per 10k,0.05858850422853625,-0.05858850422853625
%=CQC NotRated,0.0,0.0
