Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.238785753712209,5.238785753712209
House=Price Growth %,3.9790161199069645,3.9790161199069645
%=CQC Good,0.7217996767436846,-0.7217996767436846
GDHI=per head 2022,0.2339864642151488,0.2339864642151488
%=CQC Outstanding,0.19004249503214204,0.19004249503214204
%=CQC Inadequate,0.14803341732207279,-0.14803341732207279
Care=Homes per 10k,0.13249242428505661,-0.13249242428505661
Percent=65plus,0.07093601246951846,0.07093601246951846
Total=Population,0.005746636719647789,-0.005746636719647789
%=CQC NotRated,0.0,0.0
