Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.175270659785692,-6.175270659785692
%=CQC Good,1.3683502275035575,-1.3683502275035575
House=Price Growth %,0.6871492968506776,-0.6871492968506776
%=CQC Inadequate,0.2654210478883189,-0.2654210478883189
GDHI=per head 2022,0.20350629596526162,0.20350629596526162
Total=Population,0.11176753764297928,0.11176753764297928
%=CQC Outstanding,0.08229098344018758,0.08229098344018758
Care=Homes per 10k,0.04493343030971321,0.04493343030971321
Percent=65plus,0.0027876749355759075,0.0027876749355759075
%=CQC NotRated,0.0,0.0
