Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.584796337015984,6.584796337015984
House=Price Growth %,3.273321034369912,3.273321034369912
%=CQC Good,0.40754699959793117,-0.40754699959793117
Percent=65plus,0.18763912246466904,0.18763912246466904
%=CQC Outstanding,0.17715688664811247,0.17715688664811247
%=CQC Inadequate,0.14910438397983217,-0.14910438397983217
GDHI=per head 2022,0.05588692085303987,-0.05588692085303987
Total=Population,0.038049088680714174,-0.038049088680714174
Care=Homes per 10k,0.02596870287837009,0.02596870287837009
%=CQC NotRated,0.0,0.0
