Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.686973929547983,-7.686973929547983
House=Price Growth %,2.0813951411262157,-2.0813951411262157
%=CQC Good,1.048997760604792,-1.048997760604792
Percent=65plus,0.6406787074284829,-0.6406787074284829
%=CQC Outstanding,0.4918534611432961,-0.4918534611432961
%=CQC Inadequate,0.22254215680457712,-0.22254215680457712
GDHI=per head 2022,0.17675593857164862,-0.17675593857164862
Care=Homes per 10k,0.02553036528396267,-0.02553036528396267
Total=Population,0.0008221507764577577,0.0008221507764577577
%=CQC NotRated,0.0,0.0
