Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.112589762338967,4.112589762338967
House=Price Growth %,3.0159800699612167,3.0159800699612167
%=CQC Good,0.7761775785332876,-0.7761775785332876
Percent=65plus,0.6359683329589532,0.6359683329589532
GDHI=per head 2022,0.15129846429055108,0.15129846429055108
%=CQC Inadequate,0.14585555044919196,-0.14585555044919196
Care=Homes per 10k,0.1253400066327003,0.1253400066327003
%=CQC Outstanding,0.10875453448618429,0.10875453448618429
Total=Population,0.04960335142058021,-0.04960335142058021
%=CQC NotRated,0.0,0.0
