Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.876165375659178,-3.876165375659178
%=CQC RequiresImprovement,3.144393134393624,-3.144393134393624
Percent=65plus,1.127454037806679,1.127454037806679
%=CQC Good,1.0624156501076167,-1.0624156501076167
Care=Homes per 10k,0.37082915282463047,0.37082915282463047
%=CQC Inadequate,0.19146539783916028,-0.19146539783916028
Total=Population,0.16526735191874647,0.16526735191874647
%=CQC Outstanding,0.13790803471051488,0.13790803471051488
GDHI=per head 2022,0.07577567100451615,0.07577567100451615
%=CQC NotRated,0.0,0.0
