Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.113611261846013,4.113611261846013
House=Price Growth %,1.0980082785288352,-1.0980082785288352
Percent=65plus,1.0367918507500962,1.0367918507500962
%=CQC Good,0.7980487960855976,-0.7980487960855976
Total=Population,0.3213672307162459,0.3213672307162459
Care=Homes per 10k,0.2886486911526423,0.2886486911526423
GDHI=per head 2022,0.20142547737463878,0.20142547737463878
%=CQC Inadequate,0.17584198764351497,-0.17584198764351497
%=CQC Outstanding,0.10534924068382541,0.10534924068382541
%=CQC NotRated,0.0,0.0
