Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.898621011301093,-4.898621011301093
House=Price Growth %,4.061159873292013,4.061159873292013
%=CQC Good,1.0490359147554635,-1.0490359147554635
Percent=65plus,0.5054878067479984,0.5054878067479984
%=CQC Outstanding,0.23166968427382198,0.23166968427382198
%=CQC Inadequate,0.22843295760690102,-0.22843295760690102
Total=Population,0.09358300048905048,0.09358300048905048
Care=Homes per 10k,0.03160363496399308,0.03160363496399308
GDHI=per head 2022,0.00851942583793145,-0.00851942583793145
%=CQC NotRated,0.0,0.0
