Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.521687395233069,-5.521687395233069
House=Price Growth %,3.4933889531087807,3.4933889531087807
%=CQC Outstanding,0.740678712515318,-0.740678712515318
%=CQC Inadequate,0.27573202281575826,-0.27573202281575826
%=CQC Good,0.1930821511048618,-0.1930821511048618
GDHI=per head 2022,0.16036258472092177,-0.16036258472092177
Percent=65plus,0.14804745443591327,-0.14804745443591327
Care=Homes per 10k,0.10184424924637579,0.10184424924637579
Total=Population,0.040248191263809255,-0.040248191263809255
%=CQC NotRated,0.0,0.0
