Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,1.1867903223349212,-1.1867903223349212
%=CQC Good,0.9514356252309668,-0.9514356252309668
Percent=65plus,0.515265284676087,0.515265284676087
%=CQC Outstanding,0.24611959211092835,0.24611959211092835
House=Price Growth %,0.2220877549066886,0.2220877549066886
%=CQC Inadequate,0.17549644529267464,-0.17549644529267464
Total=Population,0.15540789925690215,0.15540789925690215
GDHI=per head 2022,0.09761437698367353,-0.09761437698367353
Care=Homes per 10k,0.05905092915711542,0.05905092915711542
%=CQC NotRated,0.0,0.0
