Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,12.251890883921499,12.251890883921499
House=Price Growth %,6.885739473003738,6.885739473003738
%=CQC Good,6.292390037590409,6.292390037590409
%=CQC Inadequate,1.0193316734694373,1.0193316734694373
%=CQC Outstanding,0.40306373357730757,0.40306373357730757
Care=Homes per 10k,0.19494925228177995,0.19494925228177995
Total=Population,0.12802114532938766,0.12802114532938766
Percent=65plus,0.006233325716128091,0.006233325716128091
GDHI=per head 2022,0.00027516537575187586,0.00027516537575187586
%=CQC NotRated,0.0,0.0
