Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.474845925370264,4.474845925370264
House=Price Growth %,2.005711138345397,-2.005711138345397
%=CQC Good,0.5732905418303084,-0.5732905418303084
GDHI=per head 2022,0.3650156407880243,0.3650156407880243
Percent=65plus,0.2799002724451093,-0.2799002724451093
Care=Homes per 10k,0.2717185443554683,-0.2717185443554683
%=CQC Inadequate,0.19981758503071564,-0.19981758503071564
Total=Population,0.15206379304979223,-0.15206379304979223
%=CQC Outstanding,0.07743499916401782,0.07743499916401782
%=CQC NotRated,0.0,0.0
