Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,8.246379186999926,-8.246379186999926
%=CQC RequiresImprovement,4.572751486407594,-4.572751486407594
Percent=65plus,1.5120101199243297,-1.5120101199243297
%=CQC Good,1.0094118381501562,-1.0094118381501562
Care=Homes per 10k,0.40261362002819595,-0.40261362002819595
%=CQC Outstanding,0.12940558015797157,0.12940558015797157
%=CQC Inadequate,0.11280117749748593,-0.11280117749748593
Total=Population,0.07457560741285889,-0.07457560741285889
GDHI=per head 2022,0.05683214652802646,0.05683214652802646
%=CQC NotRated,0.0,0.0
