Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.255930358831328,8.255930358831328
House=Price Growth %,6.27676388970081,6.27676388970081
%=CQC Good,2.070880647442571,2.070880647442571
%=CQC Inadequate,0.565584277504766,0.565584277504766
%=CQC Outstanding,0.2700309702365163,0.2700309702365163
GDHI=per head 2022,0.09634787545261533,-0.09634787545261533
Care=Homes per 10k,0.03447537626183516,-0.03447537626183516
Percent=65plus,0.026475777789456978,0.026475777789456978
Total=Population,0.0004479795255113169,-0.0004479795255113169
%=CQC NotRated,0.0,0.0
