Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.16169739995001,-8.16169739995001
House=Price Growth %,3.7183888662760203,-3.7183888662760203
%=CQC Good,1.8955561315286107,-1.8955561315286107
Percent=65plus,1.8390825674758247,-1.8390825674758247
Care=Homes per 10k,0.6759777822771558,-0.6759777822771558
%=CQC Outstanding,0.24594485792520407,-0.24594485792520407
Total=Population,0.20432879700560766,-0.20432879700560766
%=CQC Inadequate,0.17719460558410596,-0.17719460558410596
GDHI=per head 2022,0.0861343017119616,-0.0861343017119616
%=CQC NotRated,0.0,0.0
