Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,7.845099798646143,-7.845099798646143
%=CQC RequiresImprovement,4.868613630251109,4.868613630251109
%=CQC Good,1.3950778312048653,-1.3950778312048653
Care=Homes per 10k,0.34598880068539406,-0.34598880068539406
Percent=65plus,0.26784220105914697,0.26784220105914697
Total=Population,0.1721525706461965,0.1721525706461965
%=CQC Outstanding,0.16285116658427895,0.16285116658427895
%=CQC Inadequate,0.15153580989713605,-0.15153580989713605
GDHI=per head 2022,0.11743736215831935,0.11743736215831935
%=CQC NotRated,0.0,0.0
