Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.144220525777534,-6.144220525777534
House=Price Growth %,4.04925380151303,-4.04925380151303
%=CQC Good,1.8971810941137495,-1.8971810941137495
Percent=65plus,1.604423571057333,-1.604423571057333
Care=Homes per 10k,0.32327570344996015,-0.32327570344996015
%=CQC Outstanding,0.17048233495969248,0.17048233495969248
%=CQC Inadequate,0.14547162036264003,-0.14547162036264003
GDHI=per head 2022,0.1169243384344338,0.1169243384344338
Total=Population,0.1097856668543884,-0.1097856668543884
%=CQC NotRated,0.0,0.0
