Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.693679245271963,5.693679245271963
House=Price Growth %,1.6051543769874776,-1.6051543769874776
Percent=65plus,0.6473243753706449,-0.6473243753706449
%=CQC Good,0.6377236524368447,-0.6377236524368447
Total=Population,0.24226797970264177,0.24226797970264177
Care=Homes per 10k,0.1996808628750252,-0.1996808628750252
%=CQC Outstanding,0.18770074102662052,0.18770074102662052
%=CQC Inadequate,0.17903388091071792,-0.17903388091071792
GDHI=per head 2022,0.11213612715502365,-0.11213612715502365
%=CQC NotRated,0.0,0.0
