Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.91850209992564,-8.91850209992564
House=Price Growth %,3.0005259109303797,3.0005259109303797
%=CQC Good,1.6225295584958335,-1.6225295584958335
Percent=65plus,0.6910935256551968,-0.6910935256551968
Care=Homes per 10k,0.2755011010441251,-0.2755011010441251
Total=Population,0.22953241107343988,-0.22953241107343988
%=CQC Inadequate,0.22773312935412113,-0.22773312935412113
GDHI=per head 2022,0.1038676869785535,0.1038676869785535
%=CQC Outstanding,0.01539291790495912,0.01539291790495912
%=CQC NotRated,0.0,0.0
