Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC Outstanding,0.4571228695384056,-0.4571228695384056
%=CQC Good,0.4400965183227213,0.4400965183227213
%=CQC RequiresImprovement,0.4223330411792089,-0.4223330411792089
House=Price Growth %,0.39510603777396186,-0.39510603777396186
GDHI=per head 2022,0.2429658311794121,0.2429658311794121
%=CQC Inadequate,0.18595312178463846,-0.18595312178463846
Percent=65plus,0.13002499341249432,0.13002499341249432
Care=Homes per 10k,0.1289857533854003,-0.1289857533854003
Total=Population,0.09160817101247526,0.09160817101247526
%=CQC NotRated,0.0,0.0
