Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.375700717971752,-7.375700717971752
House=Price Growth %,3.337312038910055,3.337312038910055
%=CQC Good,1.4799517759242493,-1.4799517759242493
GDHI=per head 2022,0.2408548923437182,-0.2408548923437182
%=CQC Outstanding,0.22939207532786515,0.22939207532786515
%=CQC Inadequate,0.21631516974402487,-0.21631516974402487
Total=Population,0.0553274912149852,0.0553274912149852
Percent=65plus,0.02109481747897478,0.02109481747897478
Care=Homes per 10k,0.01719082331738102,0.01719082331738102
%=CQC NotRated,0.0,0.0
