Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.372217187867824,4.372217187867824
%=CQC RequiresImprovement,4.0292452487324235,4.0292452487324235
%=CQC Good,1.1232182200797047,-1.1232182200797047
Percent=65plus,0.19249785344031828,0.19249785344031828
Total=Population,0.1686012975412028,0.1686012975412028
%=CQC Inadequate,0.15133605694412647,-0.15133605694412647
%=CQC Outstanding,0.13213282699741233,0.13213282699741233
Care=Homes per 10k,0.12858183968094622,0.12858183968094622
GDHI=per head 2022,0.0436272869707745,-0.0436272869707745
%=CQC NotRated,0.0,0.0
