Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.1245304152465945,7.1245304152465945
House=Price Growth %,2.2141769587591247,2.2141769587591247
Percent=65plus,0.6572724224352173,0.6572724224352173
%=CQC Outstanding,0.22436286980349962,0.22436286980349962
%=CQC Inadequate,0.1845881410246589,-0.1845881410246589
GDHI=per head 2022,0.15419364320714082,0.15419364320714082
Care=Homes per 10k,0.1371305177890477,0.1371305177890477
%=CQC Good,0.06687388197356679,-0.06687388197356679
Total=Population,0.057210113976900505,-0.057210113976900505
%=CQC NotRated,0.0,0.0
