Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.49893092229601,-4.49893092229601
%=CQC Good,1.1514130967600473,-1.1514130967600473
House=Price Growth %,0.3372494280064932,0.3372494280064932
%=CQC Inadequate,0.2511342697604348,-0.2511342697604348
%=CQC Outstanding,0.20897771011573607,0.20897771011573607
Percent=65plus,0.18960998718375197,-0.18960998718375197
Total=Population,0.1142481824125665,-0.1142481824125665
GDHI=per head 2022,0.06826007116286335,0.06826007116286335
Care=Homes per 10k,0.06695606060681486,-0.06695606060681486
%=CQC NotRated,0.0,0.0
