Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,2.197614966750894,-2.197614966750894
GDHI=per head 2022,0.34065848822358064,0.34065848822358064
%=CQC Good,0.21973368306429375,-0.21973368306429375
%=CQC Inadequate,0.2193068935017336,-0.2193068935017336
%=CQC Outstanding,0.14893545928861515,-0.14893545928861515
%=CQC RequiresImprovement,0.12383175575323505,0.12383175575323505
Total=Population,0.09856960487731158,0.09856960487731158
Percent=65plus,0.03749566846633639,-0.03749566846633639
Care=Homes per 10k,0.005278487516759469,-0.005278487516759469
%=CQC NotRated,0.0,0.0
