Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,11.797726078874852,11.797726078874852
%=CQC Good,5.431225038754058,5.431225038754058
House=Price Growth %,3.872899257063028,3.872899257063028
Percent=65plus,0.2938685922274478,0.2938685922274478
%=CQC Inadequate,0.22939308045071888,-0.22939308045071888
Total=Population,0.2243387051042712,0.2243387051042712
Care=Homes per 10k,0.1665557679975406,-0.1665557679975406
%=CQC Outstanding,0.1599624752689594,-0.1599624752689594
GDHI=per head 2022,0.004248341959073052,0.004248341959073052
%=CQC NotRated,0.0,0.0
