Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.928149436425568,-6.928149436425568
House=Price Growth %,3.2564648932129474,-3.2564648932129474
%=CQC Good,1.859710174081956,-1.859710174081956
Percent=65plus,1.2403594676810183,-1.2403594676810183
%=CQC Outstanding,0.24010625043133169,0.24010625043133169
%=CQC Inadequate,0.21218980723442785,0.21218980723442785
Care=Homes per 10k,0.16649018779221886,-0.16649018779221886
Total=Population,0.10945968335593739,-0.10945968335593739
GDHI=per head 2022,0.06183247514938992,0.06183247514938992
%=CQC NotRated,0.0,0.0
