Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.483633447034582,-4.483633447034582
%=CQC RequiresImprovement,3.212369328514635,-3.212369328514635
%=CQC Good,1.11676885583798,-1.11676885583798
Percent=65plus,0.9725152999900456,0.9725152999900456
%=CQC Inadequate,0.18480219845861665,-0.18480219845861665
%=CQC Outstanding,0.13606019583014664,0.13606019583014664
Total=Population,0.11241990401064128,0.11241990401064128
GDHI=per head 2022,0.047838713969662064,0.047838713969662064
Care=Homes per 10k,0.0008655936892007128,-0.0008655936892007128
%=CQC NotRated,0.0,0.0
