Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.263847147493922,-5.263847147493922
%=CQC Inadequate,0.9594031183371705,0.9594031183371705
House=Price Growth %,0.9189307477785054,0.9189307477785054
Percent=65plus,0.760419121678775,0.760419121678775
GDHI=per head 2022,0.30626483263116716,0.30626483263116716
%=CQC Outstanding,0.11398074812980631,-0.11398074812980631
Care=Homes per 10k,0.053273548166423566,0.053273548166423566
%=CQC Good,0.028552251818500622,0.028552251818500622
Total=Population,0.021721034521354966,-0.021721034521354966
%=CQC NotRated,0.0,0.0
