Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,2.5312384661358838,-2.5312384661358838
House=Price Growth %,0.7427333224777404,-0.7427333224777404
%=CQC Good,0.4715303121956057,-0.4715303121956057
%=CQC Inadequate,0.23321340297524037,-0.23321340297524037
%=CQC Outstanding,0.19912882945257232,0.19912882945257232
Percent=65plus,0.19184529362015323,0.19184529362015323
Care=Homes per 10k,0.1282839144011682,-0.1282839144011682
Total=Population,0.05776959741629955,-0.05776959741629955
GDHI=per head 2022,0.007210417205293266,-0.007210417205293266
%=CQC NotRated,0.0,0.0
