Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.24735173202635,4.24735173202635
House=Price Growth %,2.4426460379531436,2.4426460379531436
%=CQC Inadequate,0.4173809490073737,0.4173809490073737
GDHI=per head 2022,0.2716318713535495,-0.2716318713535495
Percent=65plus,0.16514970943416532,-0.16514970943416532
Total=Population,0.16434698207159681,0.16434698207159681
%=CQC Good,0.1398525844381694,0.1398525844381694
Care=Homes per 10k,0.12030279114731988,0.12030279114731988
%=CQC Outstanding,0.0971951944092783,0.0971951944092783
%=CQC NotRated,0.0,0.0
