Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.002051021011289,-5.002051021011289
House=Price Growth %,1.920052817577983,-1.920052817577983
%=CQC Inadequate,1.1764833103429533,1.1764833103429533
%=CQC Good,1.0467205444423382,1.0467205444423382
%=CQC Outstanding,0.5922401358864576,-0.5922401358864576
GDHI=per head 2022,0.21459608281495493,-0.21459608281495493
Percent=65plus,0.19998126861275095,-0.19998126861275095
Care=Homes per 10k,0.15406196290577973,-0.15406196290577973
Total=Population,0.03027412428937591,0.03027412428937591
%=CQC NotRated,0.0,0.0
