Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.967974324413253,-7.967974324413253
House=Price Growth %,4.202167991561061,4.202167991561061
%=CQC Good,1.3605529362490125,-1.3605529362490125
Percent=65plus,0.8430415310878369,0.8430415310878369
Care=Homes per 10k,0.22648998935276593,0.22648998935276593
%=CQC Outstanding,0.13441355314723707,0.13441355314723707
%=CQC Inadequate,0.11493913406908479,0.11493913406908479
Total=Population,0.025397839806400695,0.025397839806400695
GDHI=per head 2022,0.001028088096571433,-0.001028088096571433
%=CQC NotRated,0.0,0.0
