Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,13.396184271438509,-13.396184271438509
%=CQC RequiresImprovement,9.894056804850825,-9.894056804850825
%=CQC Good,2.2135718381358798,-2.2135718381358798
Percent=65plus,1.5814984423350689,-1.5814984423350689
Care=Homes per 10k,0.39835402351739935,-0.39835402351739935
%=CQC Inadequate,0.12514502764256066,-0.12514502764256066
GDHI=per head 2022,0.09030101143748534,-0.09030101143748534
Total=Population,0.04287378848779064,-0.04287378848779064
%=CQC Outstanding,0.022220101889061143,-0.022220101889061143
%=CQC NotRated,0.0,0.0
