Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.209694349475425,-7.209694349475425
House=Price Growth %,0.976895892472321,0.976895892472321
Percent=65plus,0.5961328261025384,-0.5961328261025384
%=CQC Outstanding,0.5096198989026508,-0.5096198989026508
%=CQC Good,0.5010082182986922,0.5010082182986922
Care=Homes per 10k,0.3055086325766815,-0.3055086325766815
%=CQC Inadequate,0.25224071504644446,-0.25224071504644446
GDHI=per head 2022,0.2183718818962217,0.2183718818962217
Total=Population,0.09361511970198695,0.09361511970198695
%=CQC NotRated,0.0,0.0
