Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.668344171170983,5.668344171170983
House=Price Growth %,2.7040183587046065,-2.7040183587046065
%=CQC Good,0.8062556960209527,-0.8062556960209527
Percent=65plus,0.4941432835907147,-0.4941432835907147
GDHI=per head 2022,0.26297235446568623,-0.26297235446568623
Total=Population,0.19807464126375746,-0.19807464126375746
%=CQC Outstanding,0.186982038201598,0.186982038201598
%=CQC Inadequate,0.18261614490871264,-0.18261614490871264
Care=Homes per 10k,0.041848959847317756,0.041848959847317756
%=CQC NotRated,0.0,0.0
