Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.025312577008304,-7.025312577008304
House=Price Growth %,3.0456600861859697,-3.0456600861859697
%=CQC Good,1.35970245211089,-1.35970245211089
Percent=65plus,0.7817726602521856,-0.7817726602521856
%=CQC Outstanding,0.26702495124383335,-0.26702495124383335
%=CQC Inadequate,0.18149198693597182,-0.18149198693597182
Total=Population,0.13328114221592605,-0.13328114221592605
GDHI=per head 2022,0.11719136476968807,0.11719136476968807
Care=Homes per 10k,0.06714918144891596,0.06714918144891596
%=CQC NotRated,0.0,0.0
