Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.2318785160972774,3.2318785160972774
House=Price Growth %,2.430810849631087,-2.430810849631087
%=CQC Good,0.9446948630355881,-0.9446948630355881
Total=Population,0.2630608739626399,-0.2630608739626399
GDHI=per head 2022,0.2058958735932498,-0.2058958735932498
Percent=65plus,0.1475918526787302,-0.1475918526787302
%=CQC Outstanding,0.08408314486192466,0.08408314486192466
%=CQC Inadequate,0.05861275497336501,0.05861275497336501
Care=Homes per 10k,0.002774587234244145,0.002774587234244145
%=CQC NotRated,0.0,0.0
