Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,7.297731117290828,7.297731117290828
%=CQC RequiresImprovement,2.788591141173927,-2.788591141173927
%=CQC Good,0.7291320268634182,-0.7291320268634182
%=CQC Outstanding,0.24606686840724154,0.24606686840724154
%=CQC Inadequate,0.1747881346465764,-0.1747881346465764
Percent=65plus,0.08791255328018946,0.08791255328018946
Care=Homes per 10k,0.08633258489453643,-0.08633258489453643
GDHI=per head 2022,0.08262436792921596,-0.08262436792921596
Total=Population,0.05264759320508319,-0.05264759320508319
%=CQC NotRated,0.0,0.0
