Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,5.776779695426894,-5.776779695426894
%=CQC RequiresImprovement,3.899695025532539,3.899695025532539
Percent=65plus,1.1977235722280473,-1.1977235722280473
%=CQC Good,1.159816631025842,-1.159816631025842
Care=Homes per 10k,0.3770883698483541,-0.3770883698483541
Total=Population,0.27776083693889886,-0.27776083693889886
%=CQC Inadequate,0.14862601392231448,-0.14862601392231448
GDHI=per head 2022,0.10712786678419052,0.10712786678419052
%=CQC Outstanding,0.09116691733914624,0.09116691733914624
%=CQC NotRated,0.0,0.0
