Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.05564977873285,4.05564977873285
%=CQC RequiresImprovement,1.0010573153164684,-1.0010573153164684
%=CQC Good,0.377280669400475,-0.377280669400475
Percent=65plus,0.23343802293177943,0.23343802293177943
GDHI=per head 2022,0.15269497564301268,-0.15269497564301268
Total=Population,0.13255010497832945,-0.13255010497832945
%=CQC Inadequate,0.11530996270037279,-0.11530996270037279
%=CQC Outstanding,0.1138484701079759,0.1138484701079759
Care=Homes per 10k,0.05535144653152826,0.05535144653152826
%=CQC NotRated,0.0,0.0
