Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.355178830996746,4.355178830996746
House=Price Growth %,1.6073214188097236,-1.6073214188097236
%=CQC Good,0.6957595666530723,-0.6957595666530723
Percent=65plus,0.5067906616063242,-0.5067906616063242
Care=Homes per 10k,0.24720467760319081,-0.24720467760319081
Total=Population,0.24315210737925863,-0.24315210737925863
%=CQC Inadequate,0.20251293756399802,-0.20251293756399802
GDHI=per head 2022,0.09925547521928206,-0.09925547521928206
%=CQC Outstanding,0.07921270410360401,0.07921270410360401
%=CQC NotRated,0.0,0.0
