Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.055265216017563,4.055265216017563
Percent=65plus,1.2322311062112528,-1.2322311062112528
House=Price Growth %,1.199094568890832,-1.199094568890832
%=CQC Good,0.9197968575872526,-0.9197968575872526
GDHI=per head 2022,0.4262310817393411,-0.4262310817393411
Total=Population,0.2669231103455724,-0.2669231103455724
%=CQC Inadequate,0.1692863910505779,-0.1692863910505779
%=CQC Outstanding,0.12530591465288846,0.12530591465288846
Care=Homes per 10k,0.004486675419880056,0.004486675419880056
%=CQC NotRated,0.0,0.0
