Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.357025506161976,4.357025506161976
House=Price Growth %,2.4507230768628143,2.4507230768628143
%=CQC Good,0.9471993646805656,-0.9471993646805656
Percent=65plus,0.7179215934656652,0.7179215934656652
GDHI=per head 2022,0.1963667632947699,0.1963667632947699
%=CQC Outstanding,0.16759382182522614,0.16759382182522614
Care=Homes per 10k,0.16086577348828898,0.16086577348828898
%=CQC Inadequate,0.1551251767873958,-0.1551251767873958
Total=Population,0.1096226966347255,0.1096226966347255
%=CQC NotRated,0.0,0.0
