Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.215794010408437,-6.215794010408437
%=CQC Good,1.654230263565977,-1.654230263565977
House=Price Growth %,1.6327529627318798,-1.6327529627318798
Percent=65plus,1.3903046005696202,-1.3903046005696202
%=CQC Outstanding,0.22590420713965165,0.22590420713965165
%=CQC Inadequate,0.2077239704123585,-0.2077239704123585
Care=Homes per 10k,0.17190381404536836,-0.17190381404536836
Total=Population,0.14069863145678194,-0.14069863145678194
GDHI=per head 2022,0.11169873631625662,0.11169873631625662
%=CQC NotRated,0.0,0.0
