Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.80101638797534,6.80101638797534
House=Price Growth %,4.794742549358387,-4.794742549358387
Percent=65plus,0.5772186426779966,0.5772186426779966
%=CQC Good,0.4132564715642688,0.4132564715642688
%=CQC Outstanding,0.20444816212250747,0.20444816212250747
%=CQC Inadequate,0.19078904539028063,-0.19078904539028063
GDHI=per head 2022,0.12215429204714993,0.12215429204714993
Total=Population,0.11967404372749918,0.11967404372749918
Care=Homes per 10k,0.08845828489942113,0.08845828489942113
%=CQC NotRated,0.0,0.0
