Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.54804526659515,8.54804526659515
House=Price Growth %,3.9458281316957793,3.9458281316957793
%=CQC Good,1.6018373658192793,1.6018373658192793
Percent=65plus,0.5578544112436238,-0.5578544112436238
GDHI=per head 2022,0.34779855586720915,-0.34779855586720915
%=CQC Inadequate,0.24951802553118368,-0.24951802553118368
%=CQC Outstanding,0.043642018837381696,-0.043642018837381696
Total=Population,0.028561342219768637,0.028561342219768637
Care=Homes per 10k,0.016935595414949035,0.016935595414949035
%=CQC NotRated,0.0,0.0
