Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.3273281809415245,7.3273281809415245
%=CQC Good,1.8027866961675485,1.8027866961675485
House=Price Growth %,1.1722031167034341,1.1722031167034341
%=CQC Inadequate,0.621397372419936,0.621397372419936
Percent=65plus,0.506905210625754,-0.506905210625754
%=CQC Outstanding,0.21300927277498172,0.21300927277498172
GDHI=per head 2022,0.13288498353573167,-0.13288498353573167
Care=Homes per 10k,0.10180719596049093,-0.10180719596049093
Total=Population,0.10013255861999319,-0.10013255861999319
%=CQC NotRated,0.0,0.0
