Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,9.683687280580731,9.683687280580731
%=CQC Good,2.097491860265182,2.097491860265182
House=Price Growth %,1.6977075551051795,1.6977075551051795
Percent=65plus,1.0270981682848244,-1.0270981682848244
%=CQC Inadequate,0.23701103470566068,-0.23701103470566068
Total=Population,0.21065624089018525,-0.21065624089018525
Care=Homes per 10k,0.17096109995232256,-0.17096109995232256
GDHI=per head 2022,0.15013938118336242,-0.15013938118336242
%=CQC Outstanding,0.0962739193307546,0.0962739193307546
%=CQC NotRated,0.0,0.0
