Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.1223654970274,-6.1223654970274
House=Price Growth %,3.7447382712320874,-3.7447382712320874
%=CQC Inadequate,0.8771033201778,0.8771033201778
%=CQC Good,0.3722703411676563,0.3722703411676563
%=CQC Outstanding,0.21172441862609676,0.21172441862609676
Care=Homes per 10k,0.18851651422812724,0.18851651422812724
Percent=65plus,0.14245125529787844,0.14245125529787844
Total=Population,0.08918739510677937,-0.08918739510677937
GDHI=per head 2022,0.03532000413419361,0.03532000413419361
%=CQC NotRated,0.0,0.0
