Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.9822664445606275,3.9822664445606275
%=CQC RequiresImprovement,2.32691137597956,-2.32691137597956
%=CQC Inadequate,1.183577282322719,1.183577282322719
Percent=65plus,0.8448407389108665,0.8448407389108665
Total=Population,0.39148943662803354,0.39148943662803354
%=CQC Good,0.2525475974982375,0.2525475974982375
%=CQC Outstanding,0.23814204787884327,0.23814204787884327
GDHI=per head 2022,0.09458043987609575,0.09458043987609575
Care=Homes per 10k,0.06746207856962481,0.06746207856962481
%=CQC NotRated,0.0,0.0
