Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.4089351535459524,6.4089351535459524
House=Price Growth %,3.1139096144410976,3.1139096144410976
Percent=65plus,0.814646293159954,0.814646293159954
Total=Population,0.2534347692405394,0.2534347692405394
%=CQC Good,0.20426437284481033,-0.20426437284481033
GDHI=per head 2022,0.17937485832746722,0.17937485832746722
%=CQC Inadequate,0.16544629410369321,-0.16544629410369321
Care=Homes per 10k,0.15936632219083832,0.15936632219083832
%=CQC Outstanding,0.12873834630817355,0.12873834630817355
%=CQC NotRated,0.0,0.0
