Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.1771487887044065,3.1771487887044065
Percent=65plus,1.1187683458416053,-1.1187683458416053
%=CQC Good,0.751625246704399,-0.751625246704399
GDHI=per head 2022,0.31718911554702617,-0.31718911554702617
%=CQC Inadequate,0.19206695462281692,0.19206695462281692
Total=Population,0.19188661005176366,-0.19188661005176366
Care=Homes per 10k,0.18069479939427632,-0.18069479939427632
House=Price Growth %,0.1404644833332851,0.1404644833332851
%=CQC Outstanding,0.058378581144051735,0.058378581144051735
%=CQC NotRated,0.0,0.0
