Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.4054275026456295,-7.4054275026456295
House=Price Growth %,2.1779168989216435,2.1779168989216435
%=CQC Outstanding,0.8022907865832094,-0.8022907865832094
%=CQC Good,0.3740870811901051,-0.3740870811901051
GDHI=per head 2022,0.2813570730931601,-0.2813570730931601
%=CQC Inadequate,0.2575362894495242,-0.2575362894495242
Percent=65plus,0.1459177367385423,-0.1459177367385423
Total=Population,0.09161855852277946,-0.09161855852277946
Care=Homes per 10k,0.0017871804331686227,-0.0017871804331686227
%=CQC NotRated,0.0,0.0
