Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.185235100827118,5.185235100827118
House=Price Growth %,3.4348140089098265,-3.4348140089098265
%=CQC Good,2.2599439770566754,2.2599439770566754
%=CQC Inadequate,0.8913151502089062,0.8913151502089062
Percent=65plus,0.2960653012350019,-0.2960653012350019
%=CQC Outstanding,0.2365247622709874,0.2365247622709874
Total=Population,0.19460407012229555,-0.19460407012229555
GDHI=per head 2022,0.09564238122871525,0.09564238122871525
Care=Homes per 10k,0.0856166989402222,0.0856166989402222
%=CQC NotRated,0.0,0.0
