Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.984292567462235,6.984292567462235
House=Price Growth %,5.1031681655443935,-5.1031681655443935
%=CQC Good,3.630079102203379,3.630079102203379
%=CQC Inadequate,1.1343148329129202,1.1343148329129202
Percent=65plus,1.0739595853880193,1.0739595853880193
%=CQC Outstanding,0.31978723140913545,0.31978723140913545
Total=Population,0.3116718857176779,0.3116718857176779
GDHI=per head 2022,0.10033360256770445,0.10033360256770445
Care=Homes per 10k,0.04297595185117678,-0.04297595185117678
%=CQC NotRated,0.0,0.0
