Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.352016832366937,-8.352016832366937
House=Price Growth %,2.9365566836633854,2.9365566836633854
%=CQC Good,1.6130882864695941,-1.6130882864695941
Percent=65plus,1.375656482461605,-1.375656482461605
Care=Homes per 10k,0.20519768940196356,-0.20519768940196356
%=CQC Inadequate,0.1888277472010708,-0.1888277472010708
Total=Population,0.16990814392036904,-0.16990814392036904
GDHI=per head 2022,0.15551068483538488,0.15551068483538488
%=CQC Outstanding,0.14972250358827724,0.14972250358827724
%=CQC NotRated,0.0,0.0
