Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.2436043252968743,3.2436043252968743
Percent=65plus,0.5825072383194305,0.5825072383194305
%=CQC Outstanding,0.541836117407581,-0.541836117407581
%=CQC RequiresImprovement,0.3607597259087264,0.3607597259087264
Total=Population,0.2832331967815605,0.2832331967815605
%=CQC Inadequate,0.16910001815160156,-0.16910001815160156
Care=Homes per 10k,0.13175633982015333,0.13175633982015333
%=CQC Good,0.0398088682563802,-0.0398088682563802
GDHI=per head 2022,0.039278867954303506,0.039278867954303506
%=CQC NotRated,0.0,0.0
